PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200805232798,2,1,0,0,838 Kansas St,4093007,CONSTRUCTION,2014-04-09
N201405085278,9,9,0,0,2420 03rd St,4108003,BP Filed,2014-05-08
N200503298688,2,1,0,0,948 Hampshire St,4143008,BP ISSUED,2009-03-12
N201207114624,4,3,0,0,2830 24th St,4209017,BP Filed,2012-07-11
N200710155355,2,1,0,0,1196 Hampshire St,4210013,CONSTRUCTION,2013-07-03
N200804038738,3,2,0,0,1321 De Haro St,4218036,PL Approved,2009-07-16
N200705010141,28,28,0,0,1004 Mississippi St,4224015,BP APPROVED,2009-01-16
N200705010119,2,2,0,0,1036 Mississippi St,4224018,BP APPROVED,2009-12-01
N201308295550,3,1,0,0,1087 Mississippi St,4224049,BP Filed,2013-08-29
N200212244171,81,71,0,0,1301 Indiana St,4228158,CONSTRUCTION,2014-06-02
N200703216793,3,1,0,0,1366 San Bruno Av,4263007,BP Filed,2007-03-21
N200402267273,4,4,0,0,860 Innes Av,4645018,BP ISSUED,2013-06-24
N200607106046,1,1,0,0,162 Brewster St,5556019,CONSTRUCTION,2014-05-21
N200612018992,2,1,0,0,2838 Jennings St,4912002,CONSTRUCTION,2007-11-16
N200610245911,1,1,0,0,1060 Gilman Av,4937014,BP REINSTATED,2010-11-04
N200407027962,1,1,0,0,870 Ingerson Av,4964019,BP REINSTATED,2014-05-23
N200609071583,1,1,0,0,750 Jamestown Av,4976019,CONSTRUCTION,2009-04-16
N9924080S,132,132,0,0,833-881 Jamestown,4991277,CONSTRUCTION,2007-09-17
N200611036818,4,4,0,0,2175 Bayshore Bl,5066B003,BP APPROVED,2009-11-23
N201308235141,1,1,0,0,1415 Hudson Av,5258026,BP Filed,2013-08-23
N201308235140,1,1,0,0,1411 Hudson Av,5258027,BP Filed,2013-08-23
N200507137493,2,2,0,0,1665 Palou Av,5327038,CONSTRUCTION,2014-05-19
N200701171881,1,1,0,0,1911 Quesada Av,5336048,PL Filed,2013-08-08
N200606204561,1,1,0,0,47 Ledyard St,5395065,BP Filed,2006-06-20
N201211073775,271,271,0,0,5800 03rd St,5431A001,BP ISSUED,2013-12-13
N201209270766,10,10,0,0,2895 San Bruno Av,5457037,BP ISSUED,2013-08-19
N200611308862,1,1,0,0,3595 Keith St,5476014,BP ISSUED,2014-04-08
N200701121612,2,2,0,0,3119 Harrison St,5504001H,CONSTRUCTION,2011-05-03
N200803066478,2,1,0,0,3301 Folsom St,5524045,BP Filed,2008-03-06
N200805051348,1,1,0,0,98 Norwich St,5525018,BP Filed,2008-05-05
N200609253190,3,3,0,0,384 Holladay Av,5577002,PL Approved,2009-08-19
N200609253191,3,3,0,0,195 Brewster St,5577009,PL Filed,2011-04-07
N200609253192,1,1,0,0,193 Brewster St,5577010,BP Filed,2006-09-25
N200609253193,1,1,0,0,191 Brewster St,5577011,PL Approved,2009-10-28
N201305157021,1,1,0,0,175 Brewster St,5577012,BP Filed,2013-05-15
N200609253194,1,1,0,0,29 Joy St,5577013,BP Filed,2006-09-25
N200712120285,4,3,0,0,353 San Jose Av,6531022,BP REINSTATED,2013-08-05
N200702063543,4,3,0,0,1710 Diamond St,7535102,CONSTRUCTION,2014-06-24
N200603015694,1,1,0,0,133 Elsie St,5619057,CONSTRUCTION,2014-06-26
N200701192144,1,1,0,0,495 Chapman St,5627042,BP Filed,2007-01-19
N200811196948,2,1,0,0,2104 Castro St,6611003,BP Filed,2008-11-19
N200712190876,1,1,0,0,538 Valley St,6611014,BP Filed,2007-12-19
N201303293381,2,1,0,0,349 Richland Av,5721077,BP Filed,2013-03-29
N200806043667,2,2,0,0,347 Crescent Av,5744075,BP Filed,2008-06-04
N200603025880,6,6,0,0,782-786 Andover St,5825007,CONSTRUCTION,2013-08-01
N200603025881,2,2,0,0,790 Andover St,5825008,CONSTRUCTION,2014-01-30
N200706265226,2,2,0,0,104 Bache St,5826002,BP ISSUED,2009-08-04
N200704279893,2,2,0,0,106 Bache St,5826003,BP Filed,2007-04-27
N200412010421,2,2,0,0,2350 San Bruno Av,5880002,BP ISSUED,2013-01-24
N200708099236,2,1,0,0,1395 Silver Av,5883002,BP Filed,2007-08-09
N200807176988,2,2,0,0,167 Brussels St,5926021,BP ISSUED,2011-03-07
N200711077587,80,77,0,0,268 Madison St,5943008,CONSTRUCTION,2014-02-08
N200312243005,2,2,0,0,395 Athens St,6022014,CONSTRUCTION,2014-06-11
N200611036814,2,1,0,0,71 Bishop St,6168012,BP ISSUED,2009-12-31
N200611036809,1,1,0,0,67 Bishop St,6168013,BP ISSUED,2009-12-31
N200401063464,1,1,0,0,23 Sparta St,6176011,BP ISSUED,2010-06-04
N200806194898,1,1,0,0,138 Alpha St,6208003,BP ISSUED,2013-04-25
N200703025289,2,1,0,0,469 Raymond Av,6244036,BP REINSTATED,2012-02-29
N200705221925,4,3,0,0,101 Leland Av,6250036,BP Filed,2007-05-22
N200801112324,2,1,0,0,4847 Mission St,6272018,CONSTRUCTION,2009-02-25
N200812228987,2,1,0,0,239 Valley Street,6619022,CONSTRUCTION,2012-12-21
N200609152421,2,1,0,0,440 29th St,6620014,CONSTRUCTION,2014-04-01
N200701101441,1,1,0,0,497 Valley St,6621030,BP ISSUED,2013-07-22
N200711148137,2,1,0,0,577 29th St,6630031,CONSTRUCTION,2011-05-05
