PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N201312093685,29,29,0,0,580 Hayes St,807010,BP Filed,2013-12-09,"(37.776677, -122.4262278)"
N200703126040,2,2,0,0,476 Linden St,818020,BP ISSUED,2012-08-30,"(37.7760866, -122.4257414)"
N200810013158,16,16,0,0,300 Octavia St,832025,BP Filed,2008-10-01,"(37.774854, -122.4239918)"
N200810013162,16,16,0,0,360 Octavia St,832026,BP Filed,2008-10-01,"(37.7754218, -122.4240996)"
N200912032516,35,35,0,0,1 Franklin St,837003,BP Filed,2009-12-03,"(37.7744564, -122.420956)"
N201208036517,49,49,0,0,8 Octavia St,855011,CONSTRUCTION,2014-06-24,"(37.7721709, -122.4238001)"
N201209059006,133,133,0,0,55 Laguna Street,857001,CONSTRUCTION,2014-06-26,"(37.7710334, -122.4252554)"
N200605091174,3,1,0,0,279 26th Av,1386015,CONSTRUCTION,2014-02-24,"(37.784236, -122.486443)"
N200810295438,2,1,0,0,563 34th Av,1510013,BP ISSUED,2010-07-01,"(37.7784059, -122.494618)"
N201211093966,81,81,0,0,2655 Bush St,1052024,BP REINSTATED,2013-06-27,"(37.785821, -122.44077)"
N200207171660,8,8,0,0,3150 Geary Bl,1066028,CONSTRUCTION,2007-09-17,"(37.782054, -122.453038)"
N201204168406,50,50,0,0,800 Presidio Av,1073013,BP ISSUED,2014-06-20,"(37.784109, -122.445779)"
N200702214545,3,2,0,0,1419 Broderick St,1080008,BP Filed,2007-02-21,"(37.783468, -122.441515)"
N200712140534,13,13,0,0,1 Stanyan Street,1084001B,BP Filed,2007-12-14,"(37.7813055, -122.456298)"
N200804250691,2,1,0,0,417 Lyon St,1198004,BP ISSUED,2009-03-17,"(37.774925, -122.44319)"
N200808270161,2,1,0,0,560 Central Av,1198028,CONSTRUCTION,2009-11-17,"(37.775002, -122.44428)"
N201111189212,3,3,0,0,2175 Hayes St,1212022,BP Filed,2011-11-18,"(37.772893, -122.45206)"
N201307313282,1,1,0,0,1055 Ashbury St,1269167,BP Filed,2013-07-31,"(37.7636922, -122.4467383)"
N200201106632,3,3,0,0,950 Corbett Av,2799013,CONSTRUCTION,2007-03-13,"(37.751832, -122.44373)"
N200803106731,2,1,0,0,474 11th Av,1534026,BP Filed,2008-03-10,"(37.779353, -122.469202)"
N200806275518,2,2,0,0,339 18th Av,1450007,BP Filed,2008-06-27,"(37.7804743, -122.4772697)"
N200806275522,39,39,0,0,5400 Geary Bl,1450008,PL Approved,2013-04-25,"(37.781107, -122.477592)"
N200505273609,1,1,0,0,346 22nd Av,1453033,CONSTRUCTION,2014-01-24,"(37.7812717, -122.481498)"
N200606295405,3,2,0,0,322 22nd Av,1453039,PL Approved,2011-03-03,"(37.7817148, -122.4815258)"
N200804159772,2,1,0,0,411 28th Av,1460024,BP Filed,2008-04-15,"(37.781573, -122.488299)"
N200608179803,2,1,0,0,536 40th Av,1505027,CONSTRUCTION,2014-02-04,"(37.778616, -122.500423)"
N200711289065,2,1,0,0,874 30th Av,1672018,BP ISSUED,2009-01-26,"(37.772833, -122.489252)"
N200706143970,3,2,0,0,520 28th Av,1517030,CONSTRUCTION,2014-06-16,"(37.779428, -122.487579)"
N200609182560,3,2,0,0,470 08th Av,1537027,BP Filed,2006-09-18,"(37.7795872, -122.4662079)"
N200605222098,2,1,0,0,622 29th Av,1571015C,BP Filed,2006-05-22,"(37.777496, -122.488511)"
N200707066144,2,1,0,0,623 40th Av,1583006,BP Filed,2007-07-06,"(37.7769316, -122.5007825)"
N200809040762,2,1,0,0,762 37th Av,1608012,BP Filed,2008-09-04,"(37.7745559, -122.496908)"
N200809262781,6,6,0,0,700 36th Av,1609021,BP Filed,2008-09-26,"(37.77554, -122.496011)"
N200806134390,3,3,0,0,3201 Balboa St,1611001,BP Filed,2008-06-13,"(37.7756118, -122.5018153)"
N201303071701,6,4,0,0,327 Balboa St,1640051,CONSTRUCTION,2014-04-17,"(37.7772132, -122.4624321)"
