PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N200701101441,1,1,0,0,497 Valley St,6621030,BP ISSUED,2013-07-22,"(37.744009, -122.433112)"
N200711148137,2,1,0,0,577 29th St,6630031,CONSTRUCTION,2011-05-05,"(37.743196, -122.432694)"
N200712261296,2,1,0,0,176 Randall St,6655030,BP APPROVED,2014-02-11,"(37.739847, -122.427176)"
N200804028581,2,1,0,0,564 Chenery St,6727016,BP Filed,2008-04-02,"(37.734904, -122.431482)"
N200810013092,2,2,0,0,1794 San Jose Av,6793011,BP Filed,2008-10-01,"(37.729145, -122.44004)"
N200808290369,6,6,0,0,1415 Ocean Av,6941063,BP Filed,2008-08-29,"(37.724066, -122.457572)"
N200806114219,2,1,0,0,1173 Plymouth Av,6942004,BP Filed,2008-06-11,"(37.723243, -122.456332)"
N200809091137,4,4,0,0,285 Ocean Av,6951021,PL Approved,2009-11-18,"(37.723013, -122.442728)"
N200703065518,2,1,0,0,715 Holloway Av,6986040,BP Filed,2007-03-06,"(37.721683, -122.460467)"
N200311240936,1,1,0,0,652 Lakeview Av,7016023,CONSTRUCTION,2013-06-24,"(37.7184, -122.457838)"
N200804159728,6,1,0,0,5498 Mission St,7044A006,PL Filed,2009-11-18,"(37.712769, -122.44476)"
N200509072195,2,2,0,0,156 Broad St,7107019,CONSTRUCTION,2014-01-30,"(37.71332, -122.457724)"
N201209119428,182,182,0,0,800 Brotherhood Way,7331003,CONSTRUCTION,2012-09-11,"(37.714747, -122.47841)"
N201107261089,3,3,0,0,70 Gold Mine Dr,7520033,BP Filed,2011-07-26,"(37.743961, -122.437377)"
N200706154066,1,1,0,0,2395 Diamond St,7551033,BP Filed,2007-06-15,"(37.738422, -122.436138)"
N201012036075,150,150,0,0,1000 Fourth Street (block 13 East),8711014,CONSTRUCTION,2014-05-09,"(37.77337, -122.387329)"
N200904065668,3,1,0,0,355 Capp St,3590056,BP Filed,2009-04-06,"(37.761037, -122.418013)"
N201009271690,8,4,0,0,1338 Filbert St,524031,BP ISSUED,2011-01-31,"(37.799951, -122.421565)"
N200906251343,1,1,0,0,506 Oak St,829007,BP Filed,2009-06-25,"(37.774496, -122.427818)"
N200905208827,3,2,0,0,251 Arkansas St,4004024,CONSTRUCTION,2014-05-29,"(37.763095, -122.398348)"
N200906261414,2,1,0,0,279 Monterey Bl,6771032,BP ISSUED,2014-01-16,"(37.731461, -122.441411)"
N201207316121,2,1,0,0,77 Farallones Street,7108033,CONSTRUCTION,2014-01-03,"(37.713971, -122.454972)"
N200908144854,2,1,0,0,2727 Gough St,529002,BP Filed,2009-08-14,"(37.798522, -122.427678)"
N200902182284,3,1,0,0,835 Lombard St,73020,BP Filed,2009-02-18,"(37.802404, -122.415264)"
N200712200979,2,1,0,0,7 Seymour St,1154023,CONSTRUCTION,2010-10-12,"(37.778963, -122.437872)"
N200901150303,3,1,0,0,338 Carl St,1265009,CONSTRUCTION,2011-06-30,"(37.765247, -122.455184)"
N200903174286,2,1,0,0,212 23rd Av,1411022,CONSTRUCTION,2011-12-21,"(37.783606, -122.48267)"
N200902122009,2,1,0,0,227 Noriega St,2046040A,BP Filed,2009-02-12,"(37.754563, -122.465996)"
N200902041380,3,1,0,0,161 San Carlos St,3589026,BP ISSUED,2009-11-23,"(37.760853, -122.419831)"
N200902061524,2,1,0,0,421 Alvarado St,3625040,BP Filed,2009-02-06,"(37.753764, -122.430452)"
N200904106077,2,2,0,0,1966 Great Hy,2086007A,BP Filed,2009-04-10,"(37.749787, -122.507876)"
N201211284953,28,28,0,0,One Capitol Av,7148040,CONSTRUCTION,2013-09-17,"(37.710873, -122.459069)"
N200908034026,2,1,0,0,445 Waller St,867033,BP Filed,2009-08-03,"(37.77082, -122.430988)"
N200908185077,5,4,0,0,598 Belvedere St,1279048,BP Filed,2009-08-18,"(37.761958, -122.447681)"
N200909146733,1,1,0,0,854 Folsom St,3733020A,BP ISSUED,2010-06-14,"(37.781281, -122.402698)"
N200907203013,3,1,0,0,1533 Pacific Av,596031,BP Filed,2009-07-20,"(37.794887, -122.42052)"
N201007015845,2,1,0,0,500 Capp St,3610032,BP ISSUED,2012-02-17,"(37.758562, -122.418186)"
N200909237457,1,1,0,0,128 Elsie St,5618011,BP APPROVED,2011-03-03,"(37.7425608, -122.4179127)"
N200908033985,1,1,0,0,194 Sweeny St,5858024,BP Filed,2009-08-03,"(37.7327269, -122.409353)"
N201004069730,3,1,0,0,2724 San Bruno Av,6048002,BP ISSUED,2014-02-19,"(37.7271829, -122.403751)"
N200907072084,1,1,0,0,1123 Girard St,6173005,BP REINSTATED,2014-01-14,"(37.7186508, -122.4009486)"
N200906160568,2,1,0,0,60 Fountain St,6501010,BP Filed,2009-06-16,"(37.749908, -122.441906)"
N201103232716,2,1,0,0,977 North Point St,453011,BP Filed,2011-03-23,"(37.8050659, -122.423139)"
N201009241614,1,1,0,0,287 11th Av,1422016,BP ISSUED,2011-07-18,"(37.783043, -122.470127)"
N200911231869,2,1,0,0,446 33rd Av,1464014,CONSTRUCTION,2013-04-17,"(37.780738, -122.493054)"
N200911302251,3,1,0,0,483 35th Av,1467020,BP Filed,2009-11-30,"(37.779998, -122.495744)"
N200912243860,1,1,0,0,721 Clementina St,3729039,BP Filed,2009-12-24,"(37.774969, -122.41092)"
N201007297765,21,21,0,0,2353 Lombard St,512025,BP Filed,2010-07-29,"(37.799036, -122.440138)"
N200912304034,2,2,0,0,447 Linden St,818048,CONSTRUCTION,2014-05-29,"(37.7759659, -122.425277)"
N200911191706,2,1,0,0,2645 Balboa St,1617032B,BP REINSTATED,2012-05-30,"(37.7759349, -122.487368)"
N201011305795,7,7,0,0,80 Julian Av,3547027,BP ISSUED,2011-10-27,"(37.766972, -122.42137)"
N201001074297,2,1,0,0,1766 Oakdale Av,5312018,CONSTRUCTION,2014-06-18,"(37.736573, -122.393282)"
N200912314052,2,2,0,0,56 Peralta Av,5512029,CONSTRUCTION,2014-03-21,"(37.7478222, -122.4063771)"
N200912314050,2,2,0,0,62 Peralta Av,5512031,CONSTRUCTION,2014-03-21,"(37.747779, -122.4064492)"
N201004261017,2,1,0,0,1710 Oakdale Av,5312049,BP Filed,2010-04-26,"(37.7360339, -122.392332)"
N201006043843,3,3,0,0,141 Albion St,3568068,CONSTRUCTION,2013-06-27,"(37.7641372681, -122.4224700928)"
N201005172557,7,7,0,0,1945 Hyde St,123002,CONSTRUCTION,2014-06-25,"(37.798827, -122.419267)"
N201209119424,11,11,0,0,700 Brotherhood Wy,7332005,CONSTRUCTION,2014-06-25,"(37.7146102, -122.4802656)"
N201207104487,2,1,0,0,605 Kearny St,226007,CONSTRUCTION,2012-08-17,"(37.7937662, -122.4047942)"
N201208298556,2,1,0,0,31 Uranus Tr,2654031,BP ISSUED,2014-01-06,"(37.761415, -122.445239)"
N201208026449,3,1,0,0,80 Sycamore St,3576076,BP Filed,2012-08-02,"(37.7626074, -122.4211348)"
N201303202580,1,1,0,0,2 Flood Av,6774012,BP REINSTATED,2014-06-13,"(37.729731, -122.441282)"
N201303041387,4,4,0,0,270 Capitol Av,7113022,BP ISSUED,2014-04-17,"(37.712675, -122.458854)"
N201302281136,1,1,0,0,477 Eucalyptus Dr,7295018,BP Filed,2013-02-28,"(37.730904, -122.477641)"
N201304225124,2,1,0,0,81 Glover St,151029,BP Filed,2013-04-22,"(37.7971038, -122.4165014)"
N201305096539,2,1,0,0,53 Manzanita Av,1043009,BP APPROVED,2014-03-13,"(37.785003, -122.451355)"
N201305207321,3,1,0,0,431 02nd Av,1542005,BP Filed,2013-05-20,"(37.7805139, -122.460277)"
N201003057685,2,1,0,0,179 Delmar St,1270053,CONSTRUCTION,2014-04-11,"(37.7658005, -122.4452469)"
N201005061831,2,1,0,0,1248 Silver Av,5918001,BP Filed,2010-05-06,"(37.730336, -122.411437)"
N201010253666,3,3,0,0,2034 Clement St,1412019,CONSTRUCTION,2014-04-10,"(37.782524, -122.481282)"
N201001225204,3,1,0,0,430 03rd Av,1542039,BP ISSUED,2012-10-24,"(37.780495, -122.460691)"
N201003188484,1,1,0,0,3350 Taraval St,2372024A,BP Filed,2010-03-18,"(37.742125, -122.502318)"
N201002035833,3,1,0,0,990 Guerrero St,3618071,CONSTRUCTION,2012-03-07,"(37.755364, -122.423547)"
N201003107932,1,1,0,0,890 Grove St,797019,CONSTRUCTION,2014-05-27,"(37.776981, -122.431228)"
N201109144613,3,3,0,0,940 Grove St,798010,BP APPROVED,2012-06-14,"(37.77688, -122.432756)"
N201003037492,4,1,0,0,1122 Page St,1219008,BP ISSUED,2011-05-31,"(37.772165, -122.439365)"
N201111179162,106,106,0,0,740 Illinois St And 2121 Third St,4045002,CONSTRUCTION,2014-05-23,"(37.762685, -122.388248)"
N200912223677,12,12,0,0,201 Friedell St,4591C094,CONSTRUCTION,2014-05-19,"(37.7281076, -122.3701067)"
N201303122049,15,15,0,0,248 - 252 09th St,3518006,CONSTRUCTION,2014-06-23,"(37.774127, -122.412521)"
N201010052342,84,84,0,0,490 South Van Ness Av,3553008,BP Filed,2010-10-05,"(37.7654799, -122.417824)"
N201009271661,2,2,0,0,3020 Laguna St,519029,CONSTRUCTION,2013-02-27,"(37.799191, -122.430628)"
N201004230976,8,8,0,0,1234 Folsom St,3729013,BP Filed,2010-04-23,"(37.774662, -122.410902)"
N200811247224,1,1,0,0,10 Hallam St,3755079,BP Filed,2008-11-24,"(37.7756773, -122.4085899)"
N201004029551,2,1,0,0,1491 Funston Av,1840015,BP Filed,2010-04-02,"(37.76032, -122.470679)"
N201310189655,2,1,0,0,75 Mars St,2653016,BP ISSUED,2014-04-23,"(37.761012, -122.444483)"
N201006023692,3,1,0,0,81 Noe St,3538036,BP APPROVED,2012-10-01,"(37.767896, -122.43313)"
N201006073967,3,2,0,0,1067 Tennessee St,4108010,BP REINSTATED,2010-09-08,"(37.758437, -122.388987)"
N201009140824,1,1,0,0,1510 25th St,4224027,BP ISSUED,2011-08-19,"(37.7524949, -122.393947)"
N201009070276,1,1,0,0,717 Paris St,6349021,CONSTRUCTION,2014-05-23,"(37.717439, -122.437802)"
N201008279734,2,1,0,0,4335 Lincoln Wy,1706045,PL Filed,2011-05-06,"(37.763971, -122.504653)"
N201009241586,2,1,0,0,2317 15th St,2613020,BP Filed,2010-09-24,"(37.765456, -122.436188)"
N201009080449,4,4,0,0,136 Pixley St,516028A,CONSTRUCTION,2013-01-29,"(37.7986292, -122.4347431)"
N201205251254,2,1,0,0,2851 Filbert St,948018,PL Filed,2010-08-23,"(37.796384, -122.446362)"
N201008168852,1,1,0,0,173 Marston St (aka 324 Havelock St,3185023,CONSTRUCTION,2014-06-23,"(37.726904, -122.447303)"
N201211295086,67,67,0,0,200-214 6th St,3731001,BP ISSUED,2014-01-30,"(37.779381, -122.4071)"
N200512281146,110,12,0,0,101 Executive Park Bl,4991600,BP FILED,2010-10-25,"(37.711286, -122.394775)"
N201012076277,2,1,0,0,1434 La Playa *,1805037A,BP REINSTATED,2010-12-28,"(37.759658, -122.508767)"
N201011305806,1,1,0,0,3412 Market St,2717014,BP REINSTATED,2011-01-20,"(37.757076, -122.442999)"
N201010143017,67,67,0,0,527 Stevenson St,3703012,PL Approved,2014-01-10,"(37.781167, -122.410194)"
N201102170507,2,1,0,0,147 South Park Av,3775031,CONSTRUCTION,2014-06-16,"(37.7810802, -122.3943111)"
N201012156796,2,1,0,0,461 Hoffman Av,6503020,CONSTRUCTION,2014-06-25,"(37.7499449, -122.440202)"
N201012025978,2,2,0,0,551 22nd Av,1565006A,CONSTRUCTION,2014-05-22,"(37.7773632, -122.4814558)"
N201012317718,2,2,0,0,2006 Keith St,5386001,BP Filed,2010-12-31,"(37.7285945, -122.3901429)"
N201012076279,1,1,0,0,220 Williams Av,5406016,BP Filed,2010-12-07,"(37.7300549, -122.3977232)"
N201010072487,1,1,0,0,524 Vienna St,6090004,CONSTRUCTION,2013-10-17,"(37.720141, -122.431)"
N201012176969,2,2,0,0,4103 Cesar Chavez St,6581060,BP ISSUED,2014-06-13,"(37.7471631, -122.4359222)"
N201012106469,1,1,0,0,1927 Alemany Bl,6959030,CONSTRUCTION,2013-12-31,"(37.720949, -122.438681)"
N201011054435,1,1,0,0,216 Head St,7135023,BP Filed,2010-11-05,"(37.711283, -122.464092)"
N201102180558,1,1,0,0,2138 Folsom St,3574008,BP Filed,2011-02-18,"(37.763074, -122.415444)"
N201301258793,3,2,0,0,748 Treat Av,3612055,BP ISSUED,2014-05-22,"(37.758109, -122.413835)"
N201103303154,2,1,0,0,10 Lundys Ln,5610029A,CONSTRUCTION,2011-12-02,"(37.745635, -122.417946)"
N201103182398,2,1,0,0,1877 Church St,6656029,BP ISSUED,2012-04-30,"(37.740332, -122.426374)"
N201101208700,4,2,0,0,3808 Mission St,6692002,BP Filed,2011-01-20,"(37.7357207, -122.4246179)"
N201106027305,7,2,0,0,2882 - 2890 Geary Blvd,1069045,BP ISSUED,2014-02-05,"(37.7822933, -122.4499653)"
N201103101798,2,1,0,0,5727 Geary Bl,1523046B,BP Filed,2011-03-10,"(37.7801834, -122.4809796)"
N201011295711,5,1,0,0,4159 24th St,6506034,CONSTRUCTION,2012-10-17,"(37.7511381, -122.4353932)"
N201106037362,2,1,0,0,18 Valley St,6616010,BP ISSUED,2013-04-03,"(37.744985, -122.422751)"
N201105035210,4,1,0,0,226 - 228 Haight St,851012,PL Approved,2011-09-23,"(37.7728589, -122.426785)"
N201104083761,1,1,0,0,3650 Washington St,987033,BP ISSUED,2012-02-22,"(37.7891989, -122.4533754)"
N201106238762,2,1,0,0,322 29th Av,1405045,CONSTRUCTION,2013-05-10,"(37.783219, -122.488927)"
N201104113839,2,1,0,0,1322 47th Av,1801040,BP ISSUED,2014-05-07,"(37.7618482, -122.5069674)"
N201105256770,10,10,0,0,140 09th St,3509005,CONSTRUCTION,2012-07-05,"(37.775335, -122.4136225)"
N201106289066,1,1,0,0,354 Mullen Av,5535006,BP Filed,2011-06-28,"(37.745934, -122.406165)"
N200509284149,188,188,0,0,5800 03rd St,5431A043,PL APPROVED,2012-10-25,"(37.72543, -122.394483)"
N201107089769,4,2,0,0,3932 Geary Bl,1435017,BP Filed,2011-07-08,"(37.781447, -122.461678)"
N201306210141,3,2,0,0,363 21st Av,1453013,BP APPROVED,2014-05-29,"(37.781028, -122.480834)"
N201107119929,2,1,0,0,4267 23rd St,2805036,BP Filed,2011-07-11,"(37.752425, -122.437938)"
N201109215213,2,1,0,0,1115 Potrero Av,4212011,BP APPROVED,2012-03-05,"(37.754036, -122.406083)"
N201301319232,160,160,0,0,1321 Mission Street,3509043,CONSTRUCTION,2014-06-17,"(37.7759048, -122.4149665)"
N201204238894,24,1,0,0,621 Stockton St,256003,PL Approved,2012-05-10,"(37.791614, -122.40775)"
N201403211380,1,1,0,0,177 Sagamore St,7147050,BP Filed,2014-03-21,"(37.711132, -122.457944)"
N201210051462,182,182,0,0,Market Octavia - Parcel P,831023,CONSTRUCTION,2014-06-10,"(37.7747623, -122.4259404)"
N201101118224,2,1,0,0,4324 Anza St,1510022,CONSTRUCTION,2012-11-09,"(37.777952, -122.49475)"
N201108263406,2,2,0,0,560 Roosevelt Wy,2628026,BP ISSUED,2013-02-15,"(37.762569, -122.444928)"
N201111158893,3,1,0,0,3436 Scott St,465A022,BP Filed,2011-11-15,"(37.8016579, -122.4414589)"
N201112160822,2,1,0,0,4141 23rd St,2804041,CONSTRUCTION,2013-12-05,"(37.752597, -122.4351)"
N201112120494,2,1,0,0,4372 25th St,6540021,CONSTRUCTION,2013-11-20,"(37.749709, -122.437739)"
N201111078462,3,3,0,0,827 North Point St,26030,CONSTRUCTION,2014-06-03,"(37.8055904, -122.4208909)"
N201112160853,2,2,0,0,427 31st Av,1463005,CONSTRUCTION,2014-04-15,"(37.781147, -122.491594)"
N201112070234,393,393,0,0,1006 16th St,3833002,BP ISSUED,2012-09-07,"(37.7666899, -122.397182)"
N201211023396,3,3,0,0,946 Rhode Island St,4094024,BP Filed,2012-11-02,"(37.7579358, -122.4020875)"
N201201112070,1,1,0,0,1530 48th Av,1893038,CONSTRUCTION,2013-08-22,"(37.7578522, -122.50778)"
N201210011010,3,1,0,0,2830 22nd St,4146019,BP ISSUED,2014-06-30,"(37.756137, -122.410977)"
N201303212727,2,1,0,0,4616 03rd St,5306025,BP APPROVED,2013-12-12,"(37.7361554, -122.3904181)"
N201212196559,1,1,0,0,262 University St,5972040,CONSTRUCTION,2014-06-30,"(37.7266885, -122.4141663)"
N201211093910,6,6,0,0,3038 Clement St,1402023,BP Filed,2012-11-09,"(37.781857, -122.4920777)"
N201303222896,4,2,0,0,1022 Pierce St,754012,BP Filed,2013-03-22,"(37.7795647, -122.4353163)"
N201303283273,3,1,0,0,751 Webster St,797003,BP Filed,2013-03-28,"(37.7776668, -122.4300552)"
N201303283325,3,1,0,0,564 Fell St,819011,BP Filed,2013-03-28,"(37.7754135, -122.4271616)"
N201303071745,2,1,0,0,680 Spruce St,1066030,BP Filed,2013-03-07,"(37.782306, -122.452972)"
N201302281214,3,1,0,0,1052 Oak St,1216005,BP Filed,2013-02-28,"(37.773434, -122.436726)"
N201301298999,3,2,0,0,471 24th Av,1456013,BP REINSTATED,2013-02-20,"(37.780745, -122.484038)"
N201302079711,2,1,0,0,774 33rd Av,1612017N,BP Filed,2013-02-07,"(37.774547, -122.492605)"
N201402067966,1,1,0,0,119 Vernon St,7085017,BP Filed,2014-02-06,"(37.714381, -122.467701)"
N201404183603,2,1,0,0,852 Green St,119017,BP Filed,2014-04-18,"(37.799122, -122.413077)"
N201303273113,69,69,0,0,388 Fulton St,785029,BP ISSUED,2013-11-26,"(37.7787964, -122.4231868)"
N201405085281,2,1,0,0,2237 Union St,539031,BP Filed,2014-05-08,"(37.797055, -122.43607)"
N201405276744,8,8,0,0,1458 Broadway,572013,BP Filed,2014-05-27,"(37.79621, -122.421029)"
N201404234009,2,1,0,0,30 Blake St,1068014,BP Filed,2014-04-23,"(37.783204, -122.451194)"
N201405216415,3,1,0,0,1886 Mcallister St,1158022,BP Filed,2014-05-21,"(37.777186, -122.442625)"
N201404234011,3,1,0,0,2486 Fulton St,1168025,BP Filed,2014-04-23,"(37.774437, -122.456196)"
N201405236581,3,2,0,0,1236 Arguello Blvd,1265019,BP Filed,2014-05-23,"(37.76538, -122.457632)"
N201404304602,2,1,0,0,6423 California St,1407046,BP Filed,2014-04-30,"(37.783717, -122.486239)"
N201405155866,3,2,0,0,423 24th Av,1456003,BP Filed,2014-05-15,"(37.781627, -122.483708)"
N201405135633,2,1,0,0,668 23rd Av,1622025,BP Filed,2014-05-13,"(37.775011, -122.482113)"
N201404163343,2,1,0,0,1239 21st Av,1729007,BP Filed,2014-04-16,"(37.764532, -122.479304)"
N201404173519,2,1,0,0,690 Monterey Blvd,3094055,BP Filed,2014-04-17,"(37.731331, -122.450702)"
N201405206278,10,4,0,0,2782 Folsom St,3641010C,BP Filed,2014-05-20,"(37.752875, -122.414348)"
N201405206229,4,2,0,0,4024 24th St,3656010,BP Filed,2014-05-20,"(37.751303, -122.432152)"
N201404173443,3,2,0,0,2621 Harrison St,4148027,BP Filed,2014-04-17,"(37.755583, -122.41214)"
N201112301504,2,2,0,0,534 Texas St,4101004,BP Filed,2011-12-30,"(37.759584, -122.395255)"
N201112090432,1,1,0,0,209 Prentiss St,5654023,BP Filed,2011-12-09,"(37.7400628, -122.4120582)"
N201111179087,1,1,0,0,645 Duncan St,6604039,BP ISSUED,2014-01-23,"(37.7456257, -122.4343332)"
N201203276943,1,1,0,0,135 Yukon St,2716033,CONSTRUCTION,2013-11-27,"(37.757357, -122.442274)"
N201203055412,1,1,0,0,10 Aptos Av,3261002,BP Filed,2012-03-05,"(37.731603, -122.466341)"
N201202174464,2,2,0,0,639 Peralta Av,5634014,CONSTRUCTION,2014-06-25,"(37.742418, -122.408939)"
N201110146866,2,1,0,0,166 Winfield St,5617014,BP ISSUED,2014-06-10,"(37.742607, -122.418731)"
N201203146037,2,2,0,0,906 Cortland Av,5683012,BP Filed,2012-03-14,"(37.7388559, -122.413614)"
N201201242770,2,2,0,0,520 Carter St,6428001,BP Filed,2012-01-24,"(37.7090487, -122.4234888)"
N201201242773,2,2,0,0,103 Walbridge St,6428007,BP REINSTATED,2012-01-30,"(37.7091451, -122.4238181)"
N201203125903,2,2,0,0,149 29th St,6634026,CONSTRUCTION,2014-06-26,"(37.7438179, -122.4234349)"
N201203266873,3,1,0,0,1326 Francisco St,473008,CONSTRUCTION,2014-04-21,"(37.8030012, -122.4270973)"
N201203025301,1,1,0,0,1636 Bush St,665012,BP Filed,2012-03-02,"(37.7883036, -122.4243323)"
N201202174465,3,1,0,0,35 Lexington St,3576039,BP ISSUED,2013-06-25,"(37.762201, -122.421077)"
N201203196326,182,182,0,0,240 05th St,3732150,BP ISSUED,2012-08-27,"(37.7809568, -122.4042771)"
N201203287050,2,1,0,0,2923 Harrison St,4271034,CONSTRUCTION,2014-01-09,"(37.7506569, -122.411393)"
N201304023614,2,2,0,0,850 Battery St,141008,CONSTRUCTION,2014-02-11,"(37.7994579, -122.4011063)"
N201203055396,34,34,0,0,1650 Broadway *,570011,BP ISSUED,2012-12-10,"(37.7956306, -122.4243919)"
N201208026344,399,399,0,0,100 Van Ness Av,814020,CONSTRUCTION,2014-06-30,"(37.7764279, -122.4194191)"
N201305298089,2,1,0,0,571 21st Av,1564013,BP Filed,2013-05-29,"(37.7771029, -122.480546)"
N201204138248,1,1,0,0,412 Hearst Av,3116007,BP Filed,2012-04-13,"(37.730703, -122.4470298)"
N201205090138,3,1,0,0,1368 Utah St,4264007,CONSTRUCTION,2014-04-28,"(37.7521714, -122.4052431)"
N201206112314,16,5,0,0,230 11th St,3516005,CONSTRUCTION,2014-04-08,"(37.772532, -122.415292)"
N201206112282,2,2,0,0,930 Shotwell St,3641076,CONSTRUCTION,2014-05-23,"(37.7530549, -122.415341)"
N201204249018,2,2,0,0,896 De Haro St,4095018,BP Filed,2012-04-24,"(37.758353, -122.401259)"
N201209048832,1,1,0,0,2538 03rd St,4172006,CONSTRUCTION,2014-06-30,"(37.7573928, -122.3884388)"
N201207064206,2,2,0,0,1069 Capp St,6527019,BP ISSUED,2013-05-08,"(37.7495703, -122.4170629)"
N201204057595,2,1,0,0,764 17th Av,1659030,CONSTRUCTION,2014-05-08,"(37.773671, -122.475344)"
N201206253387,2,1,0,0,4546 19th St,2700012,BP ISSUED,2014-05-02,"(37.759228, -122.440055)"
N201205220992,2,1,0,0,526 Utah St,4013007,BP ISSUED,2013-11-19,"(37.762682, -122.406563)"
N201206041789,2,1,0,0,1411 Church St,6566027,BP Filed,2012-06-04,"(37.748255, -122.42679)"
N201205039740,2,1,0,0,188 Broad St,7107023,CONSTRUCTION,2013-07-01,"(37.7132988, -122.4586214)"
N201307051190,162,162,0,0,101 Polk St,811002,BP ISSUED,2014-04-07,"(37.7775399, -122.4179975)"
N201306270692,85,85,0,0,101 Hyde St,346003A,BP Filed,2013-06-27,"(37.781804, -122.415897)"
N201207245587,2,1,0,0,758 Spruce St,1088022,CONSTRUCTION,2014-02-21,"(37.780951, -122.452699)"
N201305036095,1,1,0,0,126 27th Av,1332049,BP ISSUED,2014-01-23,"(37.7869389, -122.487055)"
N201311071427,2,2,0,0,851 Corbett Av,2778013,CONSTRUCTION,2014-06-17,"(37.7531749, -122.4434096)"
N201207265893,4,4,0,0,3820 24th Street,3651017,CONSTRUCTION,2014-05-23,"(37.751907, -122.427988)"
N201208076803,4,4,0,0,127 Buchanan St,869007,BP Filed,2012-08-07,"(37.770984, -122.427208)"
N201209200274,4,4,0,0,685 Florida St,4022022,BP ISSUED,2013-12-13,"(37.760708, -122.410678)"
N201207205437,1,1,0,0,35 La Grande Av,5963042,BP ISSUED,2013-06-07,"(37.7246753, -122.4237286)"
N201209190133,1,1,0,0,538 28th St,6604011,CONSTRUCTION,2014-06-25,"(37.74509, -122.434297)"
N201208107050,1,1,0,0,233 Laidley St,6684022,CONSTRUCTION,2014-03-05,"(37.738309, -122.427785)"
N201208157477,1,1,0,0,2342 Washington St,604015,CONSTRUCTION,2014-04-18,"(37.7919152, -122.4318417)"
N201306260573,41,41,0,0,450 Hayes Street,808039,BP APPROVED,2014-07-01,"(37.7767853, -122.4238565)"
N201209200264,1,1,0,0,526 Hickory St,829023,BP ISSUED,2013-11-22,"(37.7747819, -122.4282742)"
N201209059005,116,116,0,0,100 Buchanan St,870003,CONSTRUCTION,2014-05-29,"(37.7708569, -122.4267431)"
N201204138282,11,8,0,0,"2419, 2421 &amp; 2435 Lombard St",937028,BP Filed,2012-04-13,"(37.798861, -122.441503)"
N201210041365,3,2,0,0,1880 Golden Gate Av,1152018,BP Filed,2012-10-04,"(37.778579, -122.441528)"
N201212075751,3,1,0,0,519 Duboce Av,3538096,CONSTRUCTION,2014-06-18,"(37.7692782, -122.4317257)"
N201212045401,2,1,0,0,1963 Oakdale Av,5319034,BP ISSUED,2013-07-10,"(37.738239, -122.397294)"
N201212216752,190,190,0,0,1420 Mission St,3507039,BP ISSUED,2013-05-22,"(37.7750946, -122.4162006)"
N201208278277,3,1,0,0,253 Sanchez St,3558029,CONSTRUCTION,2014-02-26,"(37.765113, -122.430591)"
N201311202405,72,72,0,0,346 Potrero Avenue,3962008,BP Filed,2013-11-20,"(37.76514, -122.407816)"
N201301117743,2,1,0,0,645 20th Av,1624005B,BP Filed,2013-01-11,"(37.775678, -122.479372)"
N201301288928,2,1,0,0,1443 12th Av,1841007,BP Filed,2013-01-28,"(37.76119, -122.469665)"
N201302130179,2,1,0,0,4072 18th St,3582054,BP Filed,2013-02-13,"(37.761156, -122.434317)"
N201303263083,3,1,0,0,659 Guerrero St,3588056,BP Filed,2013-03-26,"(37.76065, -122.423404)"
N201301228393,3,1,0,0,333 San Carlos St,3609109,BP Filed,2013-01-22,"(37.7580137, -122.4195969)"
N201302250862,3,1,0,0,1451 Mariposa St,4004034,BP ISSUED,2014-06-11,"(37.763567, -122.398125)"
N201301087514,2,1,0,0,1325 Ocean Av,6942054,BP Filed,2013-01-08,"(37.7236959, -122.456658)"
N201312234910,3,1,0,0,1241 Green St,124041,BP Filed,2013-12-23,"(37.797981, -122.419512)"
N201302150317,3,3,0,0,1470 Mcallister St,776035,BP ISSUED,2013-12-19,"(37.778091, -122.43609)"
N201304023626,479,479,0,0,280 Beale St,3738004,CONSTRUCTION,2014-06-05,"(37.7888796, -122.3929894)"
N201303051501,6,4,0,0,2500 Clement St,1407017,BP Filed,2013-03-05,"(37.781929, -122.485883)"
N201301168071,1,1,0,0,4376 24th St,2829010,BP Filed,2013-01-16,"(37.75083, -122.439924)"
N201302069581,1,1,0,0,287 Cresta Vista Dr,2993088,BP ISSUED,2013-11-18,"(37.735347, -122.453487)"
N201302210648,3,3,0,0,39 San Carlos St,3576018,BP ISSUED,2014-03-24,"(37.762239, -122.420241)"
N201311041054,16,16,0,0,3420 18th St,3576090,BP Filed,2013-11-04,"(37.761894, -122.4200228)"
N201302119939,2,2,0,0,1914 20th St,4071014,PL Filed,2013-10-25,"(37.7597859, -122.4005247)"
N201303122050,2,2,0,0,910 Carolina St,4160003,PL Filed,2013-04-25,"(37.756959, -122.400191)"
N201307292973,2,1,0,0,349 Corbett Av,2659054,BP Filed,2013-07-29,"(37.759818, -122.444755)"
N201302140247,2,2,0,0,1750 Oakdale Av,5312014,BP Filed,2013-02-14,"(37.7362066, -122.3931346)"
N201303111903,2,1,0,0,456 27th Street,6580018,BP Filed,2013-03-11,"(37.74693, -122.430509)"
