PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201206253387,2,1,0,0,4546 19TH ST,2700012
N200507208144,25,25,0,0,468 CLEMENTINA ST,3732071
N201402249169,1,1,0,0,5 NAPLES ST,5948026B
N201306250465,84,84,11,11,480 POTRERO AV,3973002C
N200701101441,1,1,0,0,497 VALLEY ST,6621030
N201305036140,6,6,0,0,5 HALLAM ST,3755096
N201312124038,12,12,0,0,520 09TH ST,3526005
N201209200264,1,1,0,0,526 HICKORY ST,0829023
N200608179803,2,1,0,0,536 40TH AV,1505027
N201209059005,116,116,0,0,55 LAGUNA ST (BLDG 1),0870003
N201209059006,450,450,0,0,55 LAGUNA ST (BLDG 2),0857001
N201305036062,139,139,17,17,555 FULTON ST,0794028
N201504224344,81,17,0,0,555 POST ST,0306020
N201308235132,2,1,0,0,56 LUCY ST,5410008
N201505015186,2,1,0,0,56 ROCKWOOD CT,2936A026
N201108263406,2,2,0,0,560 ROOSEVELT WY,2628026
N201310250236,2,2,0,0,5670 MISSION ST,7099009
N200602023710,47,47,6,6,570 JESSIE ST,3703086
N201506290179,3,1,0,0,609 HAIGHT ST,0861034
N201312093685,29,29,0,0,580 HAYES ST,0807010
N201404173481,1,1,0,0,60 SANTA BARBARA AV,7173011
N201106279018,2,1,0,0,609 26TH AV,1569002
N201401136108,27,27,4,4,600 SOUTH VAN NESS AV,3575070
N201207104487,2,1,0,0,605 KEARNY ST,0226007
N201307262866,2,2,0,0,721 KIRKHAM ST,1857036
N201111179087,1,1,0,0,645 DUNCAN ST,6604039
N201209200274,4,4,0,0,685 FLORIDA ST,4022022
N201312093691,94,94,11,11,645 TEXAS ST,4102026
N201312244992,55,55,16,16,650 INDIANA ST (BLDG 2 OF 2),4041009
N200711198515,2,1,0,0,658 03RD AV,1642036
N201411171684,2,1,0,0,66 COOK ST,1067028
N201405135633,2,1,0,0,668 23RD AV,1622025
N201305217457,12,12,1,1,690 PAGE ST,0843016
N201307222456,2,2,0,0,715 KIRKHAM ST,1857037
N201401317585,1,1,0,0,74 BLAKE ST,1068004
N201407141153,3,1,0,0,72 CASELLI AV,2691019
N201012307679,2,2,0,0,857 ALABAMA ST,4085026
N201204168406,83,83,83,83,800 PRESIDIO AV,1073013
N201309045886,557,557,55,55,801 BRANNAN ST,3783001
N201111078462,3,3,0,0,827 NORTH POINT ST,0026030
N201405307105,1,1,0,0,88 MONTCALM ST,5529012
N201308235158,1,1,0,0,89 BELGRAVE AV,2688072
N201501145767,2,1,0,0,895 NOE ST,3621030
N201311202410,115,115,14,14,923 FOLSOM ST,3753106
N201206112282,2,2,0,0,930 SHOTWELL ST,3641076
N201505206839,2,1,0,0,931 SILVER AV,5864009
N201002035833,3,1,0,0,990 GUERRERO ST,3618071
N201401166475,91,91,0,0,2700 ARELIOUS WALKER DR,4884027
N201408133766,152,152,0,0,MISSION BAY BLOCK 1 (RESIDENTIAL),8715004
N201408133775,198,198,0,0,MISSION BAY BLOCK 1 (RESIDENTIAL),8715004
N201404042522,200,200,0,0,MISSION BAY BLOCK 7,8711031
N201211284953,28,28,17,17,ONE CAPITOL AV,7148040
N201209069080,550,550,83,83,"TRINITY PLAZA, PHASE III",3702391
N201305156961,2,1,0,0,546 34TH AV,1511034
N201407100913,15,15,2,2,5 SHIPLEY ST / 935 FOLSOM ST / 77 FALMOUTH ST,3753314
N_CUSTOM_BROTHERHOOD,196,196,0,0,800 BROTHERHOOD WAY,7331003
N_CUSTOM_SHIPYARD,229,229,0,0,"HUNTERS POINT SHIPYARD, PHASE I",4591C001
